,AirportName,Number of Departures,Number of Connections,Year
0,WEBEQUIE,365,4,2018
1,BIG TROUT LAKE,863,6,2018
2,PICKLE LAKE,626,5,2018
3,MUSKRAT DAM,488,4,2018
4,KITCHENER,355,1,2018
5,BRANDON,497,1,2018
6,FOND DU LAC,21,3,2018
7,STONY RAPIDS,12,2,2018
8,POINTS NORTH LAND,11,2,2018
9,URANIUM CITY,6,1,2018
10,MAKKOVIK,624,2,2018
11,HOPEDALE,625,3,2018
12,CHARLO,319,4,2018
13,ST ANTHONY,716,5,2018
14,BONAVENTURE,1010,2,2018
15,ST HUBERT,1440,5,2018
16,STEPHENVILLE,170,6,2018
17,FORT CHIPEWYAN,419,2,2018
18,MASSET,256,1,2018
19,BELLA BELLA,665,3,2018
20,PORT HARDY,1257,2,2018
21,POWELL RIVER,1838,1,2018
22,BELLA COOLA,477,2,2018
23,FORT NORMAN,1409,2,2018
24,FORT FRANKLIN,835,2,2018
25,KASABONIKA,625,6,2018
26,FORT GOOD HOPE,836,5,2018
27,AKLAVIK,573,1,2018
28,GATINEAU,446,1,2018
29,NATASHQUAN,1309,5,2018
30,CHEVERY,1845,9,2018
31,NORMAN WELLS,1716,5,2018
32,GILLIES BAY,1170,2,2018
33,TOFINO,1290,2,2018
34,GRISE FIORD,104,1,2018
35,QUESNEL,672,2,2018
36,HIGH LEVEL,1032,4,2018
37,LLOYDMINSTER,361,2,2018
38,DEASE LAKE,12,1,2018
39,TALOYAK,541,6,2018
40,PANGNIRTUNG,1084,5,2018
41,BROUGHTON ISLAND,435,4,2018
42,HALL BEACH,720,5,2018
43,FORT SMITH,1307,6,2018
44,RESOLUTE,499,4,2018
45,HAY RIVER,1203,5,2018
46,GJOA HAVEN,545,8,2018
47,FORT SIMPSON,624,2,2018
48,IQALUIT,4110,22,2018
49,CLYDE RIVER,384,5,2018
50,COPPERMINE,675,5,2018
51,PEAWANUCK,104,1,2018
52,CHIBOUGAMAU,567,3,2018
53,ATTAWAPISKAT,643,3,2018
54,WHALE COVE,730,2,2018
55,REPULSE BAY,630,4,2018
56,RANKIN INLET,2764,12,2018
57,REGINA,8806,18,2008
58,BAKER LAKE,678,2,2018
59,DAWSON CITY,902,4,2018
60,RANKIN INLET,2722,17,2017
61,WATSON LAKE,85,1,2018
62,INUVIK,3411,13,2018
63,NORTH BAY,2544,5,2004
64,CORAL HARBOUR,631,3,2018
65,"ROUND LAKE, OT",649,9,2007
66,SALLUIT,784,5,2018
67,CAPE DORSET,553,5,2018
68,BROCHET,365,2,2003
69,CHIBOUGAMAU,558,2,2016
70,SCHEFFERVILLE,1091,4,2018
71,KANGIRSUK,1038,3,2018
72,IVUJIVIK,722,2,2018
73,KANGIQSUALUJJUAQ,626,2,2018
74,SHAMATTAWA,661,6,2018
75,SANDY LAKE,2371,14,2018
76,"ROUND LAKE, OT",1133,12,2018
77,SACHIGO LAKE,1108,13,2018
78,YORK LANDING,261,2,2018
79,PIKANGIKUM,1808,13,2018
80,AKULIVIK,732,2,2012
81,NORWAY HOUSE,1050,4,2018
82,LA GRANDE,894,4,2009
83,PANGNIRTUNG,1242,4,2006
84,ISLAND LAKE/GARDEN HILL,1432,6,2018
85,CAT LAKE,477,6,2018
86,EDMONTON INTL,48439,98,2014
87,SOUTH INDIAN LAKE,313,2,2018
88,LAC BROCHET,626,6,2018
89,SARNIA,1375,1,2018
90,SEPT ILES,6832,22,2018
91,SANDSPIT,458,1,2018
92,ST JOHN'S,12818,33,2018
93,MASSET,346,1,2011
94,SMITHERS,1117,3,2018
95,TALOYAK,545,8,2015
96,GODS RIVER,628,2,2004
97,GOOSE BAY,4705,17,2018
98,TERRACE,2442,6,2018
99,BIG TROUT LAKE,693,5,2014
100,VAL D'OR,3073,10,2018
101,ROUYN,2912,9,2018
102,COMOX,4610,9,2018
103,TOFINO,151,1,2007
104,KAMLOOPS,4057,8,2009
105,BERENS RIVER,303,3,2018
106,GRANDE PRAIRIE,4386,4,2018
107,MONCTON,7885,20,2018
108,FORT MCMURRAY,6425,8,2018
109,KAMLOOPS,4431,9,2018
110,WILLIAMS LAKE,1836,2,2006
111,KINGSTON,1674,1,2018
112,MARY'S HARBOUR,219,4,2005
113,GASPE,1458,2,2018
114,WASKAGANISH,1292,5,2008
115,DEER LAKE,5317,14,2018
116,CASTLEGAR,1347,2,2018
117,SAULT STE-MARIE,4315,4,2018
118,SOUTH INDIAN LAKE,40,1,2015
119,OTTAWA INTL,40076,78,2018
120,PIERRE ELLIOTT TRUDEAU INTL,103979,266,2018
121,JEAN LESAGE INTL,18709,51,2018
122,LANDSDOWNE HOUSE,257,4,2017
123,FORT SEVERN,314,2,2017
124,LA RONGE,179,4,2017
125,FORT NELSON,886,3,2005
126,LONDON,6079,7,2006
127,ST JOHN,3887,5,2008
128,HALIFAX,33543,83,2011
129,STONY RAPIDS,112,4,2017
130,EASTMAIN,720,2,2012
131,POINTS NORTH LAND,48,3,2017
132,MEDICINE HAT,1906,2,2018
133,CLYDE RIVER,568,3,2006
134,KUUJJUAQ,2694,9,2008
135,OTTAWA INTL,46265,101,2012
136,URANIUM CITY,24,1,2017
137,CHARLO,347,3,2017
138,STEPHENVILLE,218,3,2017
139,BELLA COOLA,445,2,2017
140,FORT NORMAN,1433,2,2017
141,FORT FRANKLIN,1035,3,2017
142,MUSKRAT DAM,595,4,2016
143,MAKKOVIK,955,5,2017
144,LAC BROCHET,365,2,2003
145,WOLLASTON LAKE,804,4,2005
146,VANCOUVER INTL,107733,178,2013
147,EDMONTON INTL,43064,117,2016
148,ST ANTHONY,761,8,2017
149,HALL BEACH,311,3,2006
150,SANDY LAKE,562,6,2007
151,CAT LAKE,540,2,2010
152,GILLIES BAY,1443,3,2017
153,TASIUJUAQ,878,2,2008
154,WILLIAMS LAKE,1784,3,2017
155,BROUGHTON ISLAND,376,4,2017
156,MUSKRAT DAM,557,6,2007
157,HALL BEACH,686,4,2017
158,GJOA HAVEN,545,7,2017
159,NANAIMO ARPT,4629,5,2018
160,IGLOOLIK,774,9,2017
161,FORT SIMPSON,622,2,2017
162,DAWSON CITY,496,3,2010
163,IQALUIT,3719,20,2017
164,CLYDE RIVER,344,4,2017
165,GJOA HAVEN,730,9,2015
166,COPPERMINE,677,5,2017
167,CAMBRIDGE BAY,830,7,2017
168,EASTMAIN,477,2,2017
169,SIOUX LOOKOUT,2665,8,2006
170,CHIBOUGAMAU,481,3,2017
171,WASKAGANISH,1040,4,2017
172,TUKTOYAKTUK,941,1,2016
173,MIRABEL,1287,4,2017
174,TOFINO,1294,1,2017
175,PEAWANUCK,103,1,2007
176,WHALE COVE,753,6,2017
177,FLIN FLON,615,2,2017
178,TIMMINS,4750,4,2008
179,ESKIMO POINT,660,5,2017
180,BAKER LAKE,705,4,2017
181,RED LAKE,3022,10,2017
182,KENORA,810,2,2017
183,DAWSON CREEK,264,5,2017
184,VANCOUVER INTL,105079,179,2010
185,DAWSON CITY,791,3,2017
186,KINGSTON,1633,1,2004
187,TUKTOYAKTUK,937,1,2017
188,PAULATUK,156,1,2017
189,SAULT STE-MARIE,5396,6,2011
190,INUVIK,3309,13,2017
191,SALLUIT,757,5,2017
192,UMIUJAQ,829,3,2017
193,OTTAWA INTL,32935,55,2003
194,AUPALUK,829,3,2017
195,KANGIRSUK,1037,3,2017
196,CHESTERFIELD INLE,935,5,2011
197,THOMPSON,1820,2,2011
198,IVUJIVIK,726,2,2017
199,REGINA,9657,34,2018
200,HALIFAX,31707,97,2013
201,BAGOTVILLE,1747,10,2018
202,KUUJJUARAPIK,1375,6,2017
203,MONT JOLI,1137,4,2010
204,"ROUND LAKE, OT",1146,9,2017
205,LITTLE GRAND RAPIDS,30,1,2017
206,ILES DE LA MADELE,1601,6,2018
207,YORK LANDING,260,1,2017
208,DEER LAKE,1097,12,2017
209,BAIE COMEAU,548,2,2004
210,CHESTERFIELD INLE,766,4,2017
211,THOMPSON,4116,11,2017
212,UMIUJAQ,724,3,2013
213,GODS NARROWS,1306,4,2017
214,COPPERMINE,805,5,2003
215,CROSS LAKE,933,2,2017
216,CROSS LAKE,1050,4,2018
217,BROCHET,326,2,2017
218,TADOULE LAKE,676,2,2017
219,LAC BROCHET,667,3,2017
220,LANDSDOWNE HOUSE,2025,4,2010
221,LLOYDMINSTER,678,1,2014
222,SARNIA,1372,1,2017
223,GOOSE BAY,5039,21,2017
224,INUVIK,2831,13,2006
225,VICTORIA,17586,25,2017
226,SANIKILUAQ,282,2,2011
227,CHARLOTTETOWN,3397,7,2017
228,PENTICTON,1603,2,2017
229,SMITHERS,1111,3,2017
230,TERRACE,2250,6,2017
231,PRINCE GEORGE,6439,14,2017
232,MEDICINE HAT,1421,1,2017
233,CRANBROOK,3339,6,2017
234,LESTER B. PEARSON,221899,416,2018
235,WINNIPEG JAMES ARMSTRONG RICHARDSON  INTL,33479,100,2017
236,VAL D'OR,2871,9,2017
237,ROUYN,2023,7,2017
238,MONT TREMBLANT,187,4,2017
239,WILLIAMS LAKE,1956,2,2005
240,SYDNEY,2546,5,2017
241,BERENS RIVER,329,2,2017
242,GRANDE PRAIRIE,3783,4,2017
243,ROUYN,1632,5,2007
244,COMOX,4937,9,2017
245,SUDBURY,8666,6,2008
246,BELLA COOLA,434,2,2007
247,MONCTON,7807,21,2017
248,WINDSOR,3322,13,2017
249,DIGBY ISLAND,65745,166,2017
250,FORT MCMURRAY,6766,10,2017
251,JEAN LESAGE INTL,18456,56,2015
252,KAMLOOPS,4225,8,2017
253,SUDBURY,6253,10,2013
254,NORTH BAY,2330,3,2006
255,HAMILTON,4737,31,2017
256,DEER LAKE,1211,15,2018
257,SARNIA,1251,1,2008
258,ILES DE LA MADELE,1465,4,2017
259,GASPE,1456,2,2017
260,KINGSTON,1773,1,2017
261,PENTICTON,2442,4,2004
262,FREDERICTON,4975,11,2017
263,LA RONGE,3508,7,2004
264,CASTLEGAR,1330,2,2017
265,NANAIMO ARPT,3785,4,2017
266,VANCOUVER INTL,124494,228,2017
267,PIERRE ELLIOTT TRUDEAU INTL,100972,252,2017
268,OTTAWA INTL,38375,88,2017
269,LA GRANDE,837,3,2018
270,EDMONTON INTL,43941,92,2017
271,FORT SMITH,1303,4,2017
272,WEBEQUIE,563,6,2016
273,BIG TROUT LAKE,867,7,2016
274,PICKLE LAKE,562,5,2016
275,HIGH LEVEL,511,4,2004
276,CAT LAKE,304,5,2016
277,BRANDON,509,3,2016
278,BAKER LAKE,553,2,2004
279,KUUJJUAQ,2917,12,2017
280,STEPHENVILLE,1211,7,2004
281,DRYDEN,2048,4,2007
282,CHURCHILL FALLS,568,3,2016
283,STEPHENVILLE,292,3,2016
284,LA RONGE,40,4,2018
285,FORT SMITH,1305,4,2016
286,FORT CHIPEWYAN,314,2,2016
287,BELLA BELLA,720,3,2016
288,BELLA COOLA,387,2,2016
289,KASABONIKA,362,5,2016
290,FORT GOOD HOPE,887,4,2016
291,CHEVERY,1650,5,2016
292,TASIUJUAQ,829,2,2017
293,HOPEDALE,1244,4,2016
294,ABBOTSFORD,2432,4,2014
295,ST ANTHONY,948,7,2016
296,BATHURST,757,1,2016
297,SANDSPIT,453,1,2016
298,GOOSE BAY,4731,19,2016
299,CASTLEGAR,1354,2,2016
300,NANAIMO ARPT,3787,6,2016
301,VICTORIA,15759,17,2012
302,BRANDON,445,1,2017
303,FORT NELSON,533,4,2016
304,SMITHERS,1135,5,2016
305,IVUJIVIK,728,2,2010
306,FORT ST JOHN,2874,10,2016
307,WILLIAMS LAKE,1774,3,2016
308,COMOX,5717,10,2016
309,FORT MCMURRAY,2652,5,2005
310,LA GRANDE,777,3,2017
311,LLOYDMINSTER,392,1,2016
312,MEDICINE HAT,1475,1,2016
313,CRANBROOK,3473,4,2016
314,KINGSTON,2157,2,2016
315,TALOYAK,514,7,2016
316,NORMAN WELLS,1824,9,2016
317,RESOLUTE,376,2,2016
318,QUESNEL,899,2,2011
319,LAKE HARBOUR,207,1,2016
320,FORT SIMPSON,641,2,2016
321,IQALUIT,3824,21,2016
322,BAGOTVILLE,1244,1,2003
323,CLYDE RIVER,463,4,2016
324,PIERRE ELLIOTT TRUDEAU INTL,89965,215,2011
325,COPPERMINE,713,6,2016
326,KUGAARUK,417,7,2016
327,FORT ALBANY,622,2,2009
328,WINDSOR,3452,16,2018
329,MUSKRAT DAM,722,3,2010
330,WEMINDJI,624,2,2016
331,PRINCE GEORGE,4457,9,2012
332,MOOSONEE,1249,3,2016
333,CAMPBELL RIVER,3658,6,2009
