,index,Unnamed: 0,lat,lng,city,state,date,year,month,Airport Name,Lat Airport,Lng Airport,Distance
0,1,1,51.266667,-80.64999990000003,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1,Moosonee Airport,51.289703100000004,-80.6127405,3.650674624323956
1,2,2,52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10,Attawapiskat Airport,52.9265542,-82.4304748,0.31925179214521404
2,3,3,50.1785158,-86.71333100000003,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2,Hutchison Lake Waterdrome,49.78478,-86.94001899999998,46.715300489185864
3,4,4,48.7738991,-91.6386031,Atikokan (Canada),ON,2010-09-28T22:00:00.000Z,2010,9,Atikokan Airport,48.77129629999999,-91.6373615,0.3034921296910907
4,5,5,48.7162203,-86.3758953,Marathon,ON,2014-06-14T22:00:00.000Z,2014,6,Marathon Airport,48.759111299999994,-86.3489556,5.16492070412573
5,6,6,48.42759375,-89.2994614781394,"Thunderbay, Ontario (Canada)",ON,2003-03-11T03:00:00.000Z,2003,3,Helipad,48.42330379999999,-89.26975949999998,2.249399993886766
6,7,7,49.1055984,-81.0136031,Cochrane (Canada),ON,2012-09-04T22:00:00.000Z,2012,9,Iroquois Falls Airport,48.74172000000001,-80.793052,43.5746558952368
7,8,8,49.5288403,-84.5630623171128,Angus (Canada),ON,2000-08-21T03:30:00.000Z,2000,8,Carey Lake Airport,49.743919,-84.03337700000002,45.1241789595034
8,9,9,48.4061651,-89.2591414,Thunder Bay (Canada),ON,2014-08-10T04:45:00.000Z,2014,8,Helipad,48.42330379999999,-89.26975949999998,2.061520194768353
9,10,10,47.8209323,-83.35498570000001,Chapleau (Canada),ON,2009-09-23T22:00:00.000Z,2009,9,Five Mile Lake Waterdrome,47.558096000000006,-83.22145400000001,30.894803008318934
10,11,11,48.763729100000006,-80.66865909999999,Iroquois Falls (Canada),ON,2008-02-07T00:10:00.000Z,2008,2,Iroquois Falls Airport,48.74172000000001,-80.793052,9.468811443732493
11,12,12,49.1994786,-84.78911640000003,Cedar Point (Canada),ON,1987-06-20T12:15:00.000Z,1987,6,Granitehill Lake Waterdrome,49.098704999999995,-85.200293,32.02183094551241
12,13,13,44.9071092,-78.3792499,Gooderham (Canada),ON,2006-08-20T01:01:00.000Z,2006,8,Pencil Lake Waterdrome,44.80638,-78.35121699999998,11.411131826101164
13,14,14,47.3940148,-79.6870887,Cobalt (Canada),ON,2001-08-14T23:30:00.000Z,2001,8,Earlton-Timiskaming Airport,47.6975411,-79.84918259999998,35.88476545496698
14,15,15,48.763729100000006,-80.66865909999999,Iroquois Falls (Canada),ON,2014-08-09T21:45:00.000Z,2014,8,Iroquois Falls Airport,48.74172000000001,-80.793052,9.468811443732493
15,16,16,44.4363439,-81.3866142,Saugeen Shores (Canada),ON,2011-09-03T21:30:00.000Z,2011,9,Southampton Airport,44.494808,-81.336766,7.611893757760199
16,17,17,50.0000002,-86.0,Canada,ON,2006-11-06T00:00:00.000Z,2006,11,Lower Twin Lake Waterdrome,50.158333,-86.587222,45.57246636916082
17,18,18,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2009-03-07T23:00:00.000Z,2009,3,Sioux Lookout Heliport,50.0761876,-91.91841240000001,2.367370340582081
18,19,19,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2007-10-20T20:45:00.000Z,2007,10,Sioux Lookout Heliport,50.0761876,-91.91841240000001,2.367370340582081
19,20,20,48.763729100000006,-80.66865909999999,Iroquois Falls (Canada),ON,2010-01-25T01:00:00.000Z,2010,1,Iroquois Falls Airport,48.74172000000001,-80.793052,9.468811443732493
20,21,21,48.763729100000006,-80.66865909999999,Iroquois Falls (Canada),ON,2007-10-13T01:59:00.000Z,2007,10,Iroquois Falls Airport,48.74172000000001,-80.793052,9.468811443732493
21,22,22,50.097436,-91.9165156,Sioux Lookout (Canada),ON,2007-09-15T05:49:00.000Z,2007,9,Sioux Lookout Heliport,50.0761876,-91.91841240000001,2.367370340582081
22,23,23,48.763729100000006,-80.66865909999999,Iroquois Falls (Canada),ON,2002-08-12T22:30:00.000Z,2002,8,Iroquois Falls Airport,48.74172000000001,-80.793052,9.468811443732493
23,24,24,48.4902991,-81.3342007,Lavigne (Canada),ON,1979-06-15T21:30:00.000Z,1979,6,Iroquois Falls Airport,48.74172000000001,-80.793052,48.72061528479823
24,25,25,48.6530506,-93.8267063,Emo (Canada),ON,2005-08-04T23:30:00.000Z,2005,8,Burditt Lake Waterdome,48.918707,-93.799182,29.61163364959034
25,26,26,49.8581032,-92.7973325,Dryden (Canada),ON,1973-07-05T15:00:00.000Z,1973,7,Eagle River Airport,49.755590000000005,-93.140268,27.19142122098461
26,27,27,48.4760636,-81.3283354,Timmins (Canada),ON,2013-09-21T22:30:00.000Z,2013,9,Iroquois Falls Airport,48.74172000000001,-80.793052,49.303482132175716
27,28,28,49.51988855,-84.56832260241299,Eagle (Canada),ON,2007-10-08T21:00:00.000Z,2007,10,Carey Lake Airport,49.743919,-84.03337700000002,45.98162655817303
28,29,29,43.2141636,-81.3005688,Granton (Canada),ON,2010-09-11T10:30:00.000Z,2010,9,Centralia/James T. Field Memorial Aerodrome,43.287614399999995,-81.50684059999998,18.632900134564412
29,30,30,48.4760636,-81.3283354,Timmins (Canada),ON,2012-08-18T22:30:00.000Z,2012,8,Iroquois Falls Airport,48.74172000000001,-80.793052,49.303482132175716
30,31,31,48.4760636,-81.3283354,Timmins (Canada),ON,2013-06-22T23:55:00.000Z,2013,6,Iroquois Falls Airport,48.74172000000001,-80.793052,49.303482132175716
31,32,32,45.47828060000001,-75.5592525,Ottawa (Orleans) (Canada),ON,1990-09-30T18:00:00.000Z,1990,9,Cascades Water Aerodrome,45.585833,-75.86805600000001,26.921139708227525
32,33,33,49.778224,-86.5396059,Longlac (Canada),ON,2007-06-17T01:00:00.000Z,2007,6,Hutchison Lake Waterdrome,49.78478,-86.94001899999998,28.846999780578454
33,34,34,46.6667476,-80.7497966,Skead (Canada),ON,2015-06-01T01:00:00.000Z,2015,6,Greater Sudbury Airport,46.6228445,-80.7956531,6.011968576479529
34,35,35,48.4760636,-81.3283354,Timmins (Canada),ON,2011-07-17T14:38:00.000Z,2011,7,Iroquois Falls Airport,48.74172000000001,-80.793052,49.303482132175716
35,37,37,46.1770206,-77.6945747,Rolphton (Canada),ON,1997-06-01T19:30:00.000Z,1997,6,Deep River Airport,46.1164768,-77.5271121,14.583454167897822
36,38,38,48.4760636,-81.3283354,Timmins (Canada),ON,2012-07-22T00:30:00.000Z,2012,7,Iroquois Falls Airport,48.74172000000001,-80.793052,49.303482132175716
37,39,39,44.1109889,-81.7143373,Bruce Beach (Canada),ON,2013-06-22T22:55:00.000Z,2013,6,Kincardine/Shepherd's Landing Airport,44.1175,-81.69833299999998,1.4713386619714817
38,40,40,49.778224,-86.5396059,Longlac (Canada),ON,2000-04-20T09:30:00.000Z,2000,4,Hutchison Lake Waterdrome,49.78478,-86.94001899999998,28.846999780578454
39,41,41,48.4760636,-81.3283354,Timmins (Canada),ON,2012-06-01T02:30:00.000Z,2012,6,Iroquois Falls Airport,48.74172000000001,-80.793052,49.303482132175716
40,42,42,49.789617,-93.6748203,Lake Winnange (Canada),ON,2013-08-13T23:20:00.000Z,2013,8,Vermilion Bay Airport,49.88005700000001,-93.42959300000001,20.308260072900698
41,43,43,46.0266765,-79.7193879,Restoule (Canada),ON,1999-09-07T23:08:00.000Z,1999,9,Sundridge South River Airport,45.82452430000001,-79.3297116,37.66261282863931
42,44,44,48.4760636,-81.3283354,Timmins (Canada),ON,1952-06-15T00:00:00.000Z,1952,6,Iroquois Falls Airport,48.74172000000001,-80.793052,49.303482132175716
43,45,45,45.2479889,-78.89287759999998,Algonquin Highlands (Canada),ON,2014-08-05T22:00:00.000Z,2014,8,Dwight Airport,45.308553,-78.980631,9.628889183364011
44,46,46,48.4760636,-81.3283354,Timmins (Canada),ON,2011-08-14T13:30:00.000Z,2011,8,Iroquois Falls Airport,48.74172000000001,-80.793052,49.303482132175716
45,47,47,49.2185794,-84.77415690000002,Hornepayne (Canada),ON,2012-09-11T21:45:00.000Z,2012,9,Granitehill Lake Waterdrome,49.098704999999995,-85.200293,33.820358472630495
46,48,48,49.8581032,-92.7973325,Dryden (Canada),ON,2007-04-16T22:30:00.000Z,2007,4,Eagle River Airport,49.755590000000005,-93.140268,27.19142122098461
47,49,49,48.4760636,-81.3283354,Timmins (Canada),ON,2009-11-17T19:00:00.000Z,2009,11,Iroquois Falls Airport,48.74172000000001,-80.793052,49.303482132175716
48,50,50,49.8581032,-92.7973325,Dryden (Canada),ON,2013-02-01T09:30:00.000Z,2013,2,Eagle River Airport,49.755590000000005,-93.140268,27.19142122098461
49,51,51,45.3264384,-79.2202087,Huntsville (Canada),ON,2014-02-17T04:30:00.000Z,2014,2,Dwight Airport,45.308553,-78.980631,18.890193452464544
50,52,52,48.4760636,-81.3283354,Timmins (Canada),ON,2004-10-20T23:45:00.000Z,2004,10,Iroquois Falls Airport,48.74172000000001,-80.793052,49.303482132175716
51,53,53,46.4490938,-82.6905028990394,Elliot Lake (Canada),ON,2016-05-23T23:30:00.000Z,2016,5,Elliot Lake Airport,46.351387,-82.561386,14.715823032704947
