lat,lng,city,state,date,year,month
50.1785158,-86.713331,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2
48.6530506,-93.8267063,Emo (Canada),ON,2005-08-04T23:30:00.000Z,2005,8
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
50.1785158,-86.713331,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2
47.8209323,-83.3549857,Chapleau (Canada),ON,2009-09-23T22:00:00.000Z,2009,9
49.70434385,-87.766674169786,Bearskin Lake (Canada),ON,2007-10-26T19:00:00.000Z,2007,10
46.6667476,-80.7497966,Skead (Canada),ON,2015-06-01T01:00:00.000Z,2015,6
46.1770206,-77.6945747,Rolphton (Canada),ON,1997-06-01T19:30:00.000Z,1997,6
46.9599336,-84.6871352,Pancake Bay (Canada),ON,2008-10-15T03:00:00.000Z,2008,10
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
51.266667,-80.6499999,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1
50.1785158,-86.713331,Northern Canada,ON,1995-02-06T01:00:00.000Z,1995,2
46.6667476,-80.7497966,Skead (Canada),ON,2015-06-01T01:00:00.000Z,2015,6
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
46.6667476,-80.7497966,Skead (Canada),ON,2015-06-01T01:00:00.000Z,2015,6
46.4490938,-82.6905028990394,Elliot Lake (Canada),ON,2016-05-23T23:30:00.000Z,2016,5
51.266667,-80.6499999,Moosonee (Canada),ON,2007-01-18T17:30:00.000Z,2007,1
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
52.9239892,-82.4283488428012,Attawapiskat (Canada),ON,2012-10-08T21:45:00.000Z,2012,10
